feature,gain_importance
svd_50,0.31632500886917114
svd_147,0.30605900287628174
svd_30,0.2912620007991791
svd_158,0.25093600153923035
svd_11,0.2107969969511032
svd_62,0.1904079057276249
external_script_count,0.17926280381925608
svd_83,0.15048590302467346
svd_16,0.1342920996248722
svd_7,0.11780600249767303
svd_163,0.09746129810810089
svd_33,0.08241638919571415
svd_184,0.0798254146338877
svd_121,0.06889264937490225
svd_14,0.0657379999756813
svd_36,0.049664098769426346
svd_70,0.031770531904157906
svd_104,0.02937760017812252
num_hyphen,0.01718125003390014
num_forms,0.01401199959218502
svd_144,0.003535448297043331
svd_189,0.0018440400017425418
svd_135,0.0011200399603694677
svd_194,0.0008953060023486614
svd_67,0.000525512317835819
svd_57,0.00045957398833706975
svd_92,0.00031882899929769337
svd_80,0.0003159032089570246
svd_166,0.0002732480061240494
svd_37,0.0002076459932141006
svd_73,9.954549750545993e-05
svd_132,5.613320172415115e-05
svd_160,4.599269959726371e-05
svd_40,2.965589919767808e-05
svd_106,1.5589999975418323e-06
svd_24,0.0
svd_186,0.0
svd_190,0.0
svd_38,0.0
svd_178,0.0
svd_167,0.0
svd_181,0.0
svd_197,0.0
svd_19,0.0
svd_35,0.0
num_underscore,0.0
svd_183,0.0
svd_176,0.0
svd_17,0.0
svd_188,0.0
svd_41,0.0
svd_9,0.0
svd_171,0.0
svd_93,0.0
svd_43,0.0
has_suspicious_kw,0.0
svd_127,0.0
svd_126,0.0
svd_125,0.0
svd_122,0.0
svd_119,0.0
svd_69,0.0
has_hidden_styles,0.0
svd_75,0.0
svd_44,0.0
suspicious_token_count,0.0
svd_110,0.0
svd_78,0.0
svd_79,0.0
svd_86,0.0
svd_98,0.0
svd_88,0.0
is_https.1,0.0
svd_60,0.0
svd_131,0.0
is_ip,0.0
svd_157,0.0
svd_156,0.0
svd_45,0.0
svd_49,0.0
svd_153,0.0
num_dots,0.0
svd_150,0.0
svd_146,0.0
has_login_keywords,0.0
svd_142,0.0
svd_141,0.0
has_at,0.0
svd_138,0.0
svd_136,0.0
svd_59,0.0
is_https,0.0
