feature,gain_importance
text_len,925.772847023456
num_iframes,803.5029489871906
num_links,258.55744190213227
num_scripts,210.0003536175809
num_inputs,206.11584026570154
external_script_count,107.3427699789354
num_forms,44.168860216966095
has_login_keywords,24.154899954795837
has_hidden_styles,23.496333986520767
